order_id,date,product,region,salesperson,quantity,unit_price,revenue,cost,profit
ORD-000064,2024-08-21,Monitor,Central,David Wilson,36,930.05,33481.8,17443.09,16038.71
ORD-000065,2024-11-17,Laptop,East,Emma Brown,12,300.49,3605.88,1529.88,2076
ORD-000066,2024-09-22,Webcam,Central,Frank Miller,30,79.43,2382.9,1600,782.9
ORD-000067,2024-01-06,Keyboard,West,Carol Davis,20,502.08,10041.6,4541.08,5500.52
ORD-000068,2024-09-09,HDMI Cable,South,Bob Smith,4,273.9,1095.6,501.91,593.69
ORD-000069,2024-03-29,Headset,Central,David Wilson,28,999.56,27987.68,11442.94,16544.74
ORD-000070,2024-06-15,Monitor,South,Alice Johnson,10,619.85,6198.5,3049.6,3148.9
ORD-000071,2024-07-11,Mouse,North,Carol Davis,28,609.79,17074.12,8891.26,8182.86
ORD-000072,2024-10-16,Keyboard,South,Alice Johnson,20,265.09,5301.8,2752.88,2548.92
ORD-000073,2024-10-04,USB Drive,West,Emma Brown,27,732.43,19775.61,11972.47,7803.14
ORD-000074,2024-09-30,Monitor,South,Emma Brown,29,753.06,21838.74,14367.39,7471.35
ORD-000075,2024-08-06,Headset,North,David Wilson,4,863.25,3453,1963.97,1489.03
ORD-000076,2024-12-16,Laptop,Central,Emma Brown,33,286.79,9464.07,3844.95,5619.12
ORD-000077,2024-06-30,Mouse,East,Emma Brown,13,523.44,6804.72,2989.52,3815.2
ORD-000078,2024-08-20,Keyboard,South,Bob Smith,31,640.71,19862.01,13118.77,6743.24
ORD-000079,2024-08-10,Headset,Central,Carol Davis,25,542.47,13561.75,5496.91,8064.84
ORD-000080,2024-12-09,Mouse,West,Carol Davis,19,254.71,4839.49,2655.36,2184.13
ORD-000081,2024-02-15,Monitor,East,Frank Miller,24,161.77,3882.48,2355.33,1527.15
ORD-000082,2024-09-04,Webcam,South,Emma Brown,22,937.16,20617.52,8870.12,11747.4
ORD-000083,2024-08-04,Mouse,South,Bob Smith,48,155.09,7444.32,4687.59,2756.73
ORD-000084,2024-08-02,Keyboard,Central,Emma Brown,21,468.4,9836.4,6117.06,3719.34
ORD-000085,2024-11-12,USB Drive,South,David Wilson,23,133.5,3070.5,1907.41,1163.09
ORD-000086,2024-09-23,USB Drive,Central,Alice Johnson,16,432.94,6927.04,3111.04,3816
ORD-000087,2024-04-26,HDMI Cable,Central,Carol Davis,17,709.52,12061.84,6480.7,5581.14
ORD-000088,2024-04-02,Laptop,South,David Wilson,38,934.76,35520.88,21159.67,14361.21
ORD-000089,2024-12-29,Monitor,West,Bob Smith,29,350.85,10174.65,5087.09,5087.56
ORD-000090,2024-05-18,Headset,East,Alice Johnson,34,221.76,7539.84,4144.61,3395.23
ORD-000091,2024-04-04,Webcam,North,Carol Davis,36,410.41,14774.76,7485.15,7289.61
ORD-000092,2024-04-11,Keyboard,East,David Wilson,14,545.91,7642.74,4466.57,3176.17
ORD-000093,2024-10-09,Headset,Central,Carol Davis,2,992.33,1984.66,1214.05,770.61
ORD-000094,2024-10-24,Mouse,South,Emma Brown,17,470.13,7992.21,3974.68,4017.53
ORD-000095,2024-02-16,Monitor,Central,Bob Smith,47,560.06,26322.82,14205.24,12117.58
ORD-000096,2024-11-05,Headset,South,Bob Smith,23,346.71,7974.33,5544.09,2430.24
ORD-000097,2024-06-05,Webcam,Central,Carol Davis,30,786.77,23603.1,15310.36,8292.74
ORD-000098,2024-03-30,Headset,East,Emma Brown,36,570.78,20548.08,13683.17,6864.91
ORD-000099,2024-06-22,Webcam,North,Emma Brown,9,799.21,7192.89,4396.72,2796.17
ORD-000100,2024-04-12,Monitor,Central,Alice Johnson,48,215.99,10367.52,4595.1,5772.42
ORD-000101,2024-11-12,Headset,Central,Carol Davis,47,162.9,7656.3,3605.97,4050.33
ORD-000102,2024-01-08,USB Drive,East,Frank Miller,47,807.43,37949.21,19297.56,18651.65
ORD-000103,2024-04-16,HDMI Cable,South,Frank Miller,17,948.03,16116.51,9676.02,6440.49
ORD-000104,2024-09-22,Mouse,South,Frank Miller,35,300.66,10523.1,4319.11,6203.99
ORD-000105,2024-07-03,Headset,Central,Emma Brown,43,958.38,41210.34,23156.71,18053.63
ORD-000106,2024-04-19,HDMI Cable,South,Bob Smith,4,341.47,1365.88,836.17,529.71
ORD-000107,2024-10-27,USB Drive,South,Emma Brown,35,151.52,5303.2,3196.37,2106.83
ORD-000108,2024-04-12,Webcam,West,Alice Johnson,18,405.43,7297.74,3472.02,3825.72
ORD-000109,2024-12-18,Monitor,South,Frank Miller,44,718.17,31599.48,16814.03,14785.45
ORD-000110,2024-02-16,Headset,North,Alice Johnson,27,175.1,4727.7,3297.83,1429.87
ORD-000111,2024-08-27,Monitor,South,Frank Miller,50,158.77,7938.5,5271.04,2667.46
ORD-000112,2024-10-13,Keyboard,East,Bob Smith,43,405.44,17433.92,8805.13,8628.79
ORD-000113,2024-10-11,USB Drive,West,Frank Miller,16,213.23,3411.68,1367.35,2044.33
ORD-000114,2024-04-29,HDMI Cable,Central,Bob Smith,50,910.11,45505.5,25462.84,20042.66
ORD-000115,2024-04-20,Mouse,South,Frank Miller,20,999.47,19989.4,13796.6,6192.8
ORD-000116,2024-07-25,Laptop,Central,Emma Brown,34,965.13,32814.42,13156.21,19658.21
ORD-000117,2024-02-22,Monitor,West,Carol Davis,36,75.15,2705.4,1552.63,1152.77
ORD-000118,2024-07-22,Keyboard,South,Alice Johnson,1,499.32,499.32,303.84,195.48
ORD-000119,2024-05-06,USB Drive,Central,David Wilson,43,383.53,16491.79,9595.52,6896.27
ORD-000120,2024-05-22,Headset,South,Emma Brown,12,896.86,10762.32,4585.15,6177.17
ORD-000121,2024-09-13,Laptop,South,Frank Miller,24,617.97,14831.28,7544.55,7286.73
ORD-000122,2024-05-01,Keyboard,North,Alice Johnson,4,582.75,2331,1489.99,841.01
ORD-000123,2024-11-09,Monitor,Central,Bob Smith,3,741.06,2223.18,1204.81,1018.37
ORD-000124,2024-10-16,HDMI Cable,East,David Wilson,1,490.76,490.76,279.66,211.1
ORD-000125,2024-07-07,Mouse,East,Emma Brown,28,332.85,9319.8,5584.68,3735.12
ORD-000126,2024-08-27,Laptop,Central,Alice Johnson,30,154.51,4635.3,2995.87,1639.43
ORD-000127,2024-09-30,USB Drive,West,Emma Brown,27,264.81,7149.87,3989.68,3160.19
ORD-000128,2024-01-20,Webcam,West,Alice Johnson,10,757.03,7570.3,3810.38,3759.92
ORD-000129,2024-01-27,Webcam,North,Frank Miller,4,447.86,1791.44,744.44,1047
ORD-000130,2024-02-15,Keyboard,South,Alice Johnson,41,81.01,3321.41,2055.63,1265.78
ORD-000131,2024-03-18,Keyboard,South,David Wilson,16,391.45,6263.2,2569,3694.2
ORD-000132,2024-03-21,HDMI Cable,North,Alice Johnson,27,283.18,7645.86,4971.04,2674.82
ORD-000133,2024-10-08,Headset,West,Alice Johnson,47,663.68,31192.96,21200.81,9992.15
ORD-000134,2024-11-19,Laptop,East,Bob Smith,20,324.06,6481.2,3954.58,2526.62
ORD-000135,2024-01-18,USB Drive,South,Carol Davis,36,448.3,16138.8,9967.56,6171.24
ORD-000136,2024-12-17,HDMI Cable,North,Emma Brown,3,324.34,973.02,471,502.02
ORD-000137,2024-02-07,Headset,East,Emma Brown,45,368.12,16565.4,11008.73,5556.67
ORD-000138,2024-03-19,Headset,South,Alice Johnson,41,587.42,24084.22,10052.78,14031.44
ORD-000139,2024-10-12,Headset,West,Alice Johnson,44,796.88,35062.72,23335.27,11727.45
ORD-000140,2024-09-18,Laptop,East,Bob Smith,6,408.21,2449.26,1556.8,892.46
ORD-000141,2024-03-24,Webcam,Central,Alice Johnson,22,860.12,18922.64,8085.81,10836.83
ORD-000142,2024-09-11,Keyboard,North,Bob Smith,18,221.42,3985.56,2466.48,1519.08
ORD-000143,2024-06-05,Keyboard,Central,Bob Smith,31,627.12,19440.72,10391.41,9049.31
ORD-000144,2024-03-04,Mouse,South,David Wilson,19,805.05,15295.95,7756.44,7539.51
ORD-000145,2024-05-07,Mouse,East,Emma Brown,46,962.68,44283.28,29516.08,14767.2
ORD-000146,2024-03-12,Monitor,West,Emma Brown,36,82.05,2953.8,1983.2,970.6
ORD-000147,2024-06-14,Laptop,Central,Frank Miller,21,213.66,4486.86,2124.53,2362.33
ORD-000148,2024-08-14,Mouse,South,Carol Davis,31,502.77,15585.87,7305.22,8280.65
ORD-000149,2024-01-13,Headset,West,David Wilson,28,990.23,27726.44,16609.6,11116.84
ORD-000150,2024-04-30,USB Drive,West,Carol Davis,47,60.05,2822.35,1569.87,1252.48
ORD-000151,2024-05-14,Headset,South,Frank Miller,16,465.82,7453.12,5102.82,2350.3
ORD-000152,2024-01-03,Monitor,North,Bob Smith,17,277.62,4719.54,2845,1874.54
ORD-000153,2024-08-24,Keyboard,West,David Wilson,29,660.41,19151.89,8361.01,10790.88
ORD-000154,2024-08-13,Keyboard,West,Alice Johnson,47,806.59,37909.73,20493.91,17415.82
ORD-000155,2024-12-08,Laptop,West,Alice Johnson,18,853.51,15363.18,9149.82,6213.36
ORD-000156,2024-01-20,Headset,Central,Bob Smith,22,196.65,4326.3,2431.11,1895.19
ORD-000157,2024-10-14,HDMI Cable,South,Alice Johnson,23,649.94,14948.62,9638.01,5310.61
ORD-000158,2024-01-07,Headset,West,David Wilson,34,871.29,29623.86,19862.66,9761.2
ORD-000159,2024-07-19,Mouse,North,David Wilson,11,856.02,9416.22,3924.18,5492.04
ORD-000160,2024-08-24,Mouse,Central,Bob Smith,1,197.48,197.48,132.81,64.67
ORD-000161,2024-02-10,USB Drive,South,Frank Miller,10,447.01,4470.1,3044.98,1425.12
ORD-000162,2024-10-05,Keyboard,North,Carol Davis,40,407.92,16316.8,8403.72,7913.08
ORD-000163,2024-01-03,Mouse,East,Bob Smith,27,829.78,22404.06,11853.68,10550.38
ORD-000164,2024-12-10,Monitor,Central,Alice Johnson,38,683.75,25982.5,13619.95,12362.55
ORD-000165,2024-11-06,Laptop,South,Alice Johnson,32,704.59,22546.88,12549.11,9997.77
ORD-000166,2024-03-19,Headset,North,Alice Johnson,7,362.75,2539.25,1671.31,867.94
ORD-000167,2024-01-27,Keyboard,West,Alice Johnson,50,259.32,12966,8306.11,4659.89
ORD-000168,2024-09-14,Mouse,West,Alice Johnson,29,276.37,8014.73,3403.68,4611.05
ORD-000169,2024-01-17,Mouse,Central,Emma Brown,42,391.33,16435.86,8122.45,8313.41
ORD-000170,2024-12-29,Mouse,East,David Wilson,23,218.19,5018.37,3392.19,1626.18
ORD-000171,2024-12-26,HDMI Cable,Central,Emma Brown,16,236.88,3790.08,1741.51,2048.57
ORD-000172,2024-10-01,USB Drive,West,Bob Smith,14,363.5,5089,2365.83,2723.17
ORD-000173,2024-12-08,Headset,North,Alice Johnson,23,663.57,15262.11,9476.09,5786.02
ORD-000174,2024-08-08,Keyboard,West,Carol Davis,16,928.01,14848.16,7592.13,7256.03
ORD-000175,2024-07-05,Keyboard,East,David Wilson,31,225.77,6998.87,4618.9,2379.97
ORD-000176,2024-05-31,USB Drive,West,Alice Johnson,21,973.81,20450.01,11991.23,8458.78
ORD-000177,2024-02-18,Laptop,West,Alice Johnson,19,125.72,2388.68,1168.63,1220.05
ORD-000178,2024-08-13,Headset,Central,Bob Smith,47,541.96,25472.12,10576.5,14895.62
ORD-000179,2024-01-11,Laptop,South,Emma Brown,33,561.04,18514.32,8550.26,9964.06
ORD-000180,2024-06-10,Monitor,Central,Carol Davis,8,376.37,3010.96,1526.07,1484.89
ORD-000181,2024-08-25,Mouse,North,Frank Miller,43,716.04,30789.72,13037.17,17752.55
ORD-000182,2024-12-01,Keyboard,West,Frank Miller,48,692.63,33246.24,21774.83,11471.41
ORD-000183,2024-10-13,USB Drive,South,Alice Johnson,29,153.45,4450.05,2726.85,1723.2
ORD-000184,2024-12-12,Headset,East,Alice Johnson,16,527.53,8440.48,5195.41,3245.07
ORD-000185,2024-08-17,Webcam,East,Alice Johnson,15,699.23,10488.45,6034.14,4454.31
ORD-000186,2024-12-09,Mouse,South,Frank Miller,15,390.66,5859.9,2675.74,3184.16
ORD-000187,2024-05-29,Mouse,West,Frank Miller,33,414.64,13683.12,7655.85,6027.27
ORD-000188,2024-07-15,Mouse,Central,Frank Miller,24,486.13,11667.12,6786.1,4881.02
ORD-000189,2024-12-18,USB Drive,North,David Wilson,4,570.59,2282.36,1360.49,921.87
ORD-000190,2024-09-16,HDMI Cable,South,David Wilson,35,80.24,2808.4,1276.5,1531.9
ORD-000191,2024-04-13,Webcam,South,Alice Johnson,38,445.78,16939.64,9361.2,7578.44
ORD-000192,2024-03-04,Keyboard,Central,Frank Miller,32,896.03,28672.96,17352.28,11320.68
ORD-000193,2024-08-02,Keyboard,Central,Carol Davis,44,457.28,20120.32,9988.54,10131.78
ORD-000194,2024-08-11,Keyboard,West,Emma Brown,31,933.61,28941.91,15437.18,13504.73
ORD-000195,2024-09-04,HDMI Cable,North,Bob Smith,37,63.89,2363.93,1293.35,1070.58
ORD-000196,2024-07-04,USB Drive,Central,David Wilson,33,882.85,29134.05,17903.03,11231.02
ORD-000197,2024-05-04,USB Drive,East,David Wilson,49,149.8,7340.2,3950.65,3389.55
ORD-000198,2024-03-22,Keyboard,East,Alice Johnson,40,237.76,9510.4,4249.9,5260.5
ORD-000199,2024-11-25,Mouse,North,Frank Miller,42,593.67,24934.14,10836.4,14097.74
ORD-000200,2024-03-24,HDMI Cable,South,Carol Davis,22,955,21010,13780.71,7229.29
ORD-000201,2024-11-06,Headset,North,Carol Davis,31,915.71,28387.01,13375.74,15011.27
ORD-000202,2024-09-02,Laptop,South,David Wilson,46,807.77,37157.42,18134.14,19023.28
ORD-000203,2024-01-10,Headset,North,Frank Miller,35,433.15,15160.25,6329.22,8831.03
ORD-000204,2024-05-10,HDMI Cable,South,Alice Johnson,41,106.81,4379.21,1892.8,2486.41
ORD-000205,2024-12-29,Monitor,Central,David Wilson,29,194.07,5628.03,3454.24,2173.79
ORD-000206,2024-02-19,Headset,Central,Carol Davis,11,347.21,3819.31,2186.13,1633.18
ORD-000207,2024-12-27,USB Drive,East,David Wilson,8,114.67,917.36,495.58,421.78
ORD-000208,2024-12-18,Laptop,East,David Wilson,13,847.11,11012.43,5749.18,5263.25
ORD-000209,2024-12-16,Keyboard,West,Emma Brown,28,836.34,23417.52,11663.89,11753.63
ORD-000210,2024-05-05,USB Drive,South,Alice Johnson,7,822.86,5760.02,2813.97,2946.05
ORD-000211,2024-01-29,Webcam,North,Emma Brown,6,630.91,3785.46,2056.93,1728.53
ORD-000212,2024-05-27,Headset,West,Frank Miller,20,297.03,5940.6,3129.57,2811.03
ORD-000213,2024-06-07,Mouse,Central,Bob Smith,21,832.18,17475.78,9263.91,8211.87
ORD-000214,2024-08-17,Laptop,South,David Wilson,10,805.24,8052.4,5265.85,2786.55
ORD-000215,2024-08-31,Monitor,North,Emma Brown,26,365.17,9494.42,4732.22,4762.2
ORD-000216,2024-09-24,Headset,South,Frank Miller,39,149.53,5831.67,2421.68,3409.99
ORD-000217,2024-05-23,Webcam,South,David Wilson,29,437.15,12677.35,8859.62,3817.73
ORD-000218,2024-12-22,Laptop,West,Frank Miller,20,168.01,3360.2,1503.95,1856.25
ORD-000219,2024-09-07,Keyboard,North,David Wilson,19,260.32,4946.08,3415.68,1530.4
ORD-000220,2024-05-21,Laptop,Central,David Wilson,21,882.17,18525.57,8884.23,9641.34
ORD-000221,2024-02-27,Monitor,East,Frank Miller,14,324.55,4543.7,2243.74,2299.96
ORD-000222,2024-02-05,Monitor,East,Frank Miller,3,570.54,1711.62,994.19,717.43
ORD-000223,2024-12-24,HDMI Cable,West,Emma Brown,8,238.95,1911.6,963.19,948.41
ORD-000224,2024-10-09,USB Drive,West,Emma Brown,38,950.73,36127.74,22073.8,14053.94
ORD-000225,2024-07-24,Keyboard,Central,Bob Smith,39,941.28,36709.92,15842.34,20867.58
ORD-000226,2024-06-22,USB Drive,South,Alice Johnson,8,538.78,4310.24,1897.47,2412.77
ORD-000227,2024-11-05,USB Drive,East,Alice Johnson,14,539.19,7548.66,3034.22,4514.44
ORD-000228,2024-02-17,HDMI Cable,Central,David Wilson,35,321.28,11244.8,6559.45,4685.35
ORD-000229,2024-04-09,HDMI Cable,Central,Bob Smith,12,770.78,9249.36,3898.58,5350.78
ORD-000230,2024-05-08,Monitor,Central,Carol Davis,50,790.01,39500.5,23121.92,16378.58
ORD-000231,2024-02-13,Monitor,Central,Bob Smith,18,143.44,2581.92,1141.16,1440.76
ORD-000232,2024-06-19,HDMI Cable,West,Alice Johnson,28,744.27,20839.56,11518.73,9320.83
ORD-000233,2024-05-24,Keyboard,North,Emma Brown,12,565.06,6780.72,4374.83,2405.89
ORD-000234,2024-08-14,Monitor,East,Carol Davis,4,239.15,956.6,664.79,291.81
ORD-000235,2024-12-03,Monitor,East,Alice Johnson,17,273.31,4646.27,3104.3,1541.97
ORD-000236,2024-01-26,HDMI Cable,North,Frank Miller,24,114.03,2736.72,1208.26,1528.46
ORD-000237,2024-11-09,Mouse,North,Alice Johnson,20,668.69,13373.8,7345.24,6028.56
ORD-000238,2024-08-08,USB Drive,West,Bob Smith,22,695.55,15302.1,9224.21,6077.89
ORD-000239,2024-02-24,Keyboard,East,David Wilson,18,130.67,2352.06,1340.86,1011.2
ORD-000240,2024-09-12,HDMI Cable,North,Frank Miller,42,626.21,26300.82,17891.14,8409.68
ORD-000241,2024-07-05,Webcam,North,Emma Brown,20,926.68,18533.6,11940.81,6592.79
ORD-000242,2024-01-15,Headset,West,Bob Smith,49,158.91,7786.59,3827.65,3958.94
ORD-000243,2024-01-21,Mouse,South,David Wilson,9,381.07,3429.63,1888.33,1541.3
ORD-000244,2024-12-29,USB Drive,East,Bob Smith,26,75.92,1973.92,991.05,982.87
ORD-000245,2024-10-25,Monitor,West,Carol Davis,48,602.68,28928.64,11677.5,17251.14
ORD-000246,2024-12-26,HDMI Cable,South,Frank Miller,3,988.07,2964.21,1366.64,1597.57
ORD-000247,2024-07-12,Monitor,West,Bob Smith,18,388.77,6997.86,2938.3,4059.56
ORD-000248,2024-01-18,Monitor,North,Bob Smith,15,314.61,4719.15,2550.15,2169
ORD-000249,2024-10-21,Webcam,East,Carol Davis,48,434.82,20871.36,10020.57,10850.79
ORD-000250,2024-12-27,Keyboard,Central,Alice Johnson,7,925.72,6480.04,4102.97,2377.07
ORD-000251,2024-11-29,Mouse,East,Emma Brown,41,243.17,9969.97,6106.37,3863.6
ORD-000252,2024-12-08,Mouse,Central,Frank Miller,10,622.12,6221.2,3317.92,2903.28
ORD-000253,2024-08-21,USB Drive,South,Alice Johnson,26,949.59,24689.34,12737.16,11952.18
ORD-000254,2024-12-14,Laptop,West,Carol Davis,27,988.14,26679.78,12486.28,14193.5
ORD-000255,2024-10-13,USB Drive,East,Alice Johnson,12,720.79,8649.48,5417.77,3231.71
ORD-000256,2024-12-24,Mouse,South,David Wilson,37,261.43,9672.91,5030.8,4642.11
ORD-000257,2024-05-24,Laptop,East,Carol Davis,3,353.36,1060.08,699.13,360.95
ORD-000258,2024-05-18,Mouse,North,Carol Davis,8,804.31,6434.48,3558.81,2875.67
ORD-000259,2024-04-12,Webcam,South,Alice Johnson,26,446.43,11607.18,7489.51,4117.67
ORD-000260,2024-05-05,HDMI Cable,West,David Wilson,17,294.93,5013.81,3045.53,1968.28
ORD-000261,2024-07-04,Headset,East,Frank Miller,33,883.02,29139.66,13645.48,15494.18
ORD-000262,2024-10-05,HDMI Cable,Central,Emma Brown,27,579.95,15658.65,9189.48,6469.17
ORD-000263,2024-04-22,Headset,North,Alice Johnson,14,476.03,6664.42,3601.08,3063.34
ORD-000264,2024-04-26,Keyboard,Central,Alice Johnson,15,368.11,5521.65,3444.41,2077.24
ORD-000265,2024-06-27,Mouse,North,Emma Brown,12,260.61,3127.32,1581.08,1546.24
ORD-000266,2024-08-25,HDMI Cable,Central,Emma Brown,7,560.87,3926.09,2086.81,1839.28
ORD-000267,2024-01-23,HDMI Cable,North,Frank Miller,26,97.79,2542.54,1091.86,1450.68
ORD-000268,2024-08-16,Headset,West,Bob Smith,19,382.9,7275.1,3831.04,3444.06
ORD-000269,2024-02-16,HDMI Cable,Central,Emma Brown,49,953.81,46736.69,32661.04,14075.65
ORD-000270,2024-12-10,HDMI Cable,Central,Alice Johnson,30,293.38,8801.4,4242.18,4559.22
ORD-000271,2024-09-20,Laptop,East,David Wilson,3,86.3,258.9,153.89,105.01
ORD-000272,2024-04-29,Mouse,Central,Frank Miller,23,581.06,13364.38,5610.22,7754.16
ORD-000273,2024-07-17,Laptop,East,David Wilson,18,574.62,10343.16,5874.48,4468.68
ORD-000274,2024-06-26,Monitor,North,Frank Miller,30,586.35,17590.5,10408.01,7182.49
ORD-000275,2024-08-10,Monitor,South,David Wilson,49,555.83,27235.67,18643.07,8592.6
ORD-000276,2024-08-31,USB Drive,West,Emma Brown,10,582.86,5828.6,2340.48,3488.12
ORD-000277,2024-09-10,Mouse,South,Frank Miller,3,972.57,2917.71,1741.73,1175.98
ORD-000278,2024-07-24,HDMI Cable,Central,Bob Smith,34,671.59,22834.06,10144.74,12689.32
ORD-000279,2024-02-13,Monitor,East,Carol Davis,40,213.81,8552.4,5688.37,2864.03
ORD-000280,2024-03-20,HDMI Cable,East,David Wilson,29,921.84,26733.36,16791.62,9941.74
ORD-000281,2024-04-11,Headset,East,Alice Johnson,37,355.08,13137.96,7133.7,6004.26
ORD-000282,2024-06-15,Monitor,North,Alice Johnson,42,595.05,24992.1,17417.47,7574.63
